{'名称': '我不是药神', '主演': '主演：徐峥,王传君,周一围', '时间': '上映时间：2018-07-05'}
{'名称': '情书', '主演': '主演：中山美穗,丰川悦司,酒井美纪', '时间': '上映时间：1999-03-01'}
{'名称': '少年派的奇幻漂流', '主演': '主演：苏拉·沙玛,伊尔凡·可汗,塔布', '时间': '上映时间：2012-11-22'}
{'名称': '何以为家', '主演': '主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔', '时间': '上映时间：2019-04-29'}
{'名称': '摔跤吧！爸爸', '主演': '主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡', '时间': '上映时间：2017-05-05'}
{'名称': '忠犬八公的故事', '主演': '主演：Forest,理查·基尔,琼·艾伦', '时间': '上映时间：2009-06-13(美国)'}
{'名称': '放牛班的春天', '主演': '主演：热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德', '时间': '上映时间：2004-10-16'}
{'名称': '小丑', '主演': '主演：杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温', '时间': '上映时间：2019-10-04(美国)'}
{'名称': '当幸福来敲门', '主演': '主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿', '时间': '上映时间：2008-01-17'}
{'名称': '死亡诗社', '主演': '主演：罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德', '时间': '上映时间：1989-06-02(加拿大)'}
{'名称': '看不见的客人', '主演': '主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多', '时间': '上映时间：2017-09-15'}
{'名称': '三傻大闹宝莱坞', '主演': '主演：阿米尔·汗,卡琳娜·卡普,马德哈万', '时间': '上映时间：2011-12-08'}
{'名称': '天堂电影院', '主演': '主演：菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂', '时间': '上映时间：2021-06-11'}
{'名称': '活着', '主演': '主演：葛优,巩俐,牛犇', '时间': '上映时间：1994-05-17(法国)'}
{'名称': '熔炉', '主演': '主演：孔刘,郑裕美,金智英', '时间': '上映时间：2011-09-22(韩国)'}
{'名称': '教父', '主演': '主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩', '时间': '上映时间：1972-03-14(美国)'}
{'名称': '你的名字。', '主演': '主演：上白石萌音,佟心竹,神木隆之介', '时间': '上映时间：2016-12-02'}
{'名称': '龙猫', '主演': '主演：秦岚,糸井重里,岛本须美', '时间': '上映时间：2018-12-14'}
{'名称': '头号玩家', '主演': '主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔松', '时间': '上映时间：2018-03-30'}
{'名称': '被嫌弃的松子的一生', '主演': '主演：中谷美纪,永山瑛太,伊势谷友介', '时间': '上映时间：2006-05-27(日本)'}
{'名称': '疯狂动物城', '主演': '主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴', '时间': '上映时间：2016-03-04'}
{'名称': '闻香识女人', '主演': '主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔', '时间': '上映时间：1992-12-23(美国)'}
{'名称': '末代皇帝', '主演': '主演：尊龙,陈冲,彼得·奥图尔', '时间': '上映时间：1987-10-04(日本)'}
{'名称': '超脱', '主演': '主演：阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩', '时间': '上映时间：2011-04-25(美国)'}
{'名称': '心灵奇旅', '主演': '主演：杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德', '时间': '上映时间：2020-12-25'}
{'名称': '三块广告牌', '主演': '主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔', '时间': '上映时间：2018-03-02'}
{'名称': '一一', '主演': '主演：吴文钦,金燕玲,李凯莉', '时间': '上映时间：2017-07-28(中国台湾)'}
{'名称': '海蒂和爷爷', '主演': '主演：阿努克·斯特芬 ,布鲁诺·冈茨,昆林·艾格匹', '时间': '上映时间：2019-05-16'}
{'名称': '机器人总动员', '主演': '主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林', '时间': '上映时间：2008-06-27(美国)'}
{'名称': '西西里的美丽传说', '主演': '主演：莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳', '时间': '上映时间：2000-10-26 00:00:00(意大利)'}
{'名称': '本杰明·巴顿奇事', '主演': '主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森', '时间': '上映时间：2008-12-25(美国)'}
{'名称': '海边的曼彻斯特', '主演': '主演：卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯', '时间': '上映时间：2017-08-25'}
